,  Job No.,Date Received Cust. PO,Customer,EOG & STSB PO,Customer PO,Items,Selling Price Currency,Selling Price,Customer Terms,Inspection Report    No.,Sales Order Ack.,Customer Expected Date,Goods Ready Date,Inv. Date,Exact Inv.,Exact DO.,EOG & STSB DO.,Service Report,Sales Person,Exact PO Date,PO Faxed Out Date,Exact PO No.,Principal / Suppliers,Code,Currency, Buying Price ,Principal / Supplier Terms,Principal / Supplier Order Ack.,Schedule Ship Date,Principal / Supplier Actual Ship Date,Principal / Supplier Invoice No.,Payment to Principal / Supplier Date,AWB No.,Goods Received Date,Duty & Tax RM,Freight Cost RM,Remarks,Total Job,Delivery Schedule Not Met,Purchasing Objective 1,Principal / Supplier Delivery Objectives,Purchasing Objectives Overdue Days,Project ,Date of Approval Drawing,Purchasing Objective 2,Malaysia Holidays,Description
T,0318/16,17-Mar-16,Luxchem Polymer Industries Sdn Bhd ,-,EAS-108-16 ,BW GasAlertMicroClip XL ,RM," 2,000.00 ",COD,IR0318/16 ,SO0318/16 ,18-Mar-16,18-Mar-16,18-Mar-16,10858,10858,,,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30315,0,0,0 ,,
T,0319/16,17-Mar-16,Sermax Cryogenics Sdn Bhd ,-,PC 16030587 ,Michell - Cermet II Hygrometer ,RM," 11,510.00 ",30 Days,IR0319/16,SO0319/16 ,28-Apr-16,28-Apr-16,28-Apr-16,11040,11040,,,syairah,21-Mar-2016,21-Mar-2016,3588,Michell Instruments Ltd ,MICH ,GBP," 1,147.80 ",30 Days,A54632,7-Apr-16,21-Apr-16,,,FEDEX#8710 4191 6741,25-Apr-16,411.87,,,1,0,0,1,3,0,0,0 ,,
T,0320/16,17-Mar-16,Gelombang Timur Supply & Services Sdn Bhd ,-,16-0131,BW GasAlertExtreme H2S Single Gas Detector,RM," 22,000.00 ",30 Days,IR0320/16,SO0320/16,18-Mar-16,18-Mar-16,18-Mar-16,10859,10859,,,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30315,0,0,0 ,,
L,0321/16,17-Mar-16,Syarikat Sesco Berhad ,-,4500450400,Calibration charges for GasAlertMax XT II,RM, 300.00 ,COD,IR0321/16,SO0321/16,18-Mar-16,18-Mar-16,18-Mar-16,10856,10856,,,boonking,,,,,,,,,,,,,,,,,,,1,0,0,0,-30315,0,0,0 ,,
L,0322/16,18-Mar-16,Mach3 Engineering Sdn Bhd ,-,2016-023,Calibration charges for GasAlertMicroClip XT II ,RM , 300.00 ,COD,IR0322/16 ,SO0322/16 ,21-Mar-16,21-Mar-16,21-Mar-16,10860,10860,,,zaid ,,,,,,,,,,,,,,,,,,,1,0,0,0,-30316,0,0,0 ,,
L,0323/16,21-Mar-16,Misc Berhad (Bunga Allium),-,ALL165018,"To repair for BW GasAlertMicro 5IR, GasAlertMicroClip XT, On-Board Vessel Fee ",RM," 8,056.00 ",30 Days,IR0323/16,SO0323/16,13-Apr-16,13-Apr-16,13-Apr-16,10976,,,,rahimah,21-Mar-2016,21-Mar-2016,3589,Ansac Technology (S) Pte Ltd ,MISC,SGD," 2,390.00 ",30 Days,-,29-Feb-16,29-Feb-16,TI/16-1472,,-,29-Feb-16,-,-,,1,0,0,0,1,0,0,0 ,,
L,0324/16,21-Mar-16,Semi Hermatics Engineering Sdn Bhd ,-,PO/EASB/20160321,"Quad Gas Cylinder, Calibration Gas Regulator (0.5 LPM) ",RM," 2,800.00 ",30 Days,IR0324/16,SO0324/16 ,23-Mar-16,23-Mar-16,23-Mar-16,10877,,,,rahimah ,,,,,,,,,,,,,,,,,,Customer cancel order.,1,0,0,0,-30317,0,0,0 ,,
T,0325/16,21-Mar-16,Polyflo Sdn Bhd ,-,Verbal ,BW GasAlertMicroClip XL ,RM," 2,340.00 ",COD,IR0325/16,SO0325/16,23-Mar-16,23-Mar-16,23-Mar-16,10878,10878,,,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30317,0,0,0 ,,
T,0326/16,21-Mar-16,Exact Oil & Gas Sdn Bhd (Petronas Gas Berhad) ,PO 019/16,4120139572,General Monitor - Sensor ,RM," 14,415.00 ",30 Days,IR0326/16,SO0326/16,13-Apr-16,13-Apr-16,13-Apr-16,10973,,,,firdaus,22-Mar-2016,22-Mar-2016,3590,General Monitors,GM,USD," 1,789.25 ",30 Days,-,5-Apr-16,5-Apr-16,,,FEDEX#6590 9556 4654,11-Apr-16,475.76,496.3,,1,0,0,0,2,0,0,0 ,,
T,0327/16,21-Mar-16,Idemitsu SM (Malaysia) Sdn Bhd ,-,008208,BW GasAlertMax XT II ,RM," 3,365.90 ",30 Days,IR0327/16,SO0327/16,22-Mar-16,22-Mar-16,22-Mar-16,10875,10875,,,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30317,0,0,0 ,,
L,0328/16,22-Mar-16,AMD Semarak Enterprise ,-,Verbal ,"Replacement Oxygen Sensor, Calibration charges for GasAlertMax XT II ",RM," 1,250.00 ",COD,IR0328/16,SO0328/16,22-Mar-16,22-Mar-16,22-Mar-16,10874,10874,,,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30318,0,0,0 ,,
T,0329/16,22-Mar-16,Gelombang Timur Supply & Services Sdn Bhd ,-,16-0134,BW GasAlertMicroClip XL ,RM," 2,160.00 ",30 Days,IR0329/16,SO0329/16,23-Mar-16,23-Mar-16,23-Mar-16,10881,10881,,,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30318,0,0,0 ,,
T,0330/16,22-Mar-16,Gelombang Timur Supply & Services Sdn Bhd ,-,16-0136,Quad Gas Cylinder ,RM ," 1,300.00 ",30 Days,IR0330/16,SO0330/16 ,23-Mar-16,23-Mar-16,23-Mar-16,10882,10882,,,rahimah ,,,,,,,,,,,,,,,,,,,1,0,0,0,-30318,0,0,0 ,,
T,0331/16,22-Mar-16,AGT Supply Enterprise ,-,Verbal ,BW GasAlertMax XT II ,RM," 3,315.00 ",COD,IR0331/16,SO0331/16,23-Mar-16,23-Mar-16,23-Mar-16,10876,,,,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30318,0,0,0 ,,
L,0332/16,22-Mar-16,Orogenic Geologging Sdn Bhd ,-,PO0009-16,"Calibration charges for GasAlertMax XT II, Replacement Power Adapter ",RM , 600.00 ,COD,IR0332/16,SO0332/16,23-Mar-16,23-Mar-16,23-Mar-16,10883,10883,,,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30318,0,0,0 ,,
L,0333/16,22-Mar-16,BMS Safety Sdn Bhd ,-,00034360,Calibration charges for GasAlertExtreme NH3,RM, 255.00 ,30 Days,IR0333/16,SO0333/16,23-Mar-16,23-Mar-16,23-Mar-16,10880,10880,,,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30318,0,0,0 ,,
L,0334/16,22-Mar-16,Sermax Automation Sdn Bhd ,-,PA1603-393,"Calibration charges for G-Tectra, Replacement Battery Pack, Calibration charges for GasAlertExtreme O2, Replacement Battery CR2, Replacement Oxygen Sensor ",RM," 3,002.50 ",30 Days,IR0334/16 ,SO0334/16 ,24-Mar-16,24-Mar-16,24-Mar-16,10886,10886,,,zaid ,23-Mar-2016,23-Mar-2016,3591-R1,Ancor Sdn Bhd,MISC,RM," 2,284.30 ",COD,-,28-Mar-16,28-Mar-16,"I2282/16,I2284/16",,-,28-Mar-16,-,-,,1,0,0,0,2,0,0,0 ,,
T,0335/16,22-Mar-16,Flowco (Malaysia) Sdn Bhd ,-,3245,BW GasAlertMicroClip XT,RM," 7,485.00 ",COD,IR0335/16,SO0335/16,25-Mar-16,25-Mar-16,25-Mar-16,10893,,,,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30318,0,0,0 ,,
T,0336/16,22-Mar-16,Jakar Machinery Sdn Bhd ,-,PO 16-0006,Quad Gas Cylinder ,RM," 1,182.00 ",30 Days,IR0336/16,SO0336/16,23-Mar-16,23-Mar-16,23-Mar-16,10879,10879,,,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30318,0,0,0 ,,
L,0337/16,23-Mar-16,Sedia Teguh Sdn Bhd (Petronas Chemicals Methanol Sdn Bhd) ,5484/2016/REV1,3020169517,Calibration charges for Gas Detector ,RM ," 2,976.00 ",30 Days,IR0337/16,SO0337/16,1-Apr-16,1-Apr-16,1-Apr-16,10924,,,,boonking,,,,,,,,,,,,,,,,,,,1,0,0,0,-30319,0,0,0 ,,
T,0338/16,23-Mar-16,Sedia Teguh Sdn Bhd (Sabah Shell Petroleum Company Limited-Gumusut) ,5481/2016,4512678587,Quad Gas Cylinder ,RM," 17,298.00 ",30 Days,IR0338/16,SO0338/16,30-Mar-16,30-Mar-16,30-Mar-16,10909,10909,,,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30319,0,0,0 ,,
S,0339/16,23-Mar-16,Organo (Asia) Sdn Bhd ,-,PO0006524,Engineering Fees for Analyzers Sampling Systems (28 Days),RM," 22,722.91 ",30 Days,IR0339/16,SO0339/16,24-Mar-16,24-Mar-16,24-Mar-16,10887,,,,paul,,,,,,,,,,,,,,,,,,,1,0,0,0,-30319,0,0,0 ,,
T,0340/16,23-Mar-16,Sedia Teguh Sdn Bhd (Petronas Chemicals Ammonia Sdn Bhd) ,5480/2016,4120140174,BW Clip CO Single Gas Detector,RM," 188,538.90 ",30 Days,IR0340/16,SO0340/16,26-Apr-16,21-Apr-16,21-Apr-16,11009,,,,rahimah,24-Mar-2016,24-Mar-2016,3592,BW ,BW ,USD," 25,740.00 ",30 Days,OC1080940,18-Apr-16,13-Apr-16,,,FEDEX#6263 7249 0323,18-Apr-16,6692.22,2362.45,,1,0,0,0,2,0,0,0 ,,
T,0340/16,23-Mar-16,Sedia Teguh Sdn Bhd (Petronas Chemicals Ammonia Sdn Bhd) ,,,,,,,,,,,,,,,,rahimah,28-Mar-2016,28-Mar-2016,3592-A,Saujana Prima Supply & Services ,MISC,RM," 21,670.00 ",COD,,,,0107,,,,,,,0,0,0,0,4,0,0,0 ,,
L,0341/16,24-Mar-16,Polyscientific Enterprise Sdn Bhd ,-,PO-1026389,Calibration charges for GasAlertExtreme ,RM, 255.00 ,30 Days,IR0341/16,SO0341/16,31-Mar-16,31-Mar-16,31-Mar-16,10916,10916,,,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30320,0,0,0 ,,
L,0342/16,24-Mar-16,Tetrachem Enviro Sdn Bhd ,-,Verbal ,"Calibration charges for BW GasAlertMax XT II, Replacement Oxygen Sensor ",RM," 1,230.00 ",COD,IR0342/16 ,SO0342/16,24-Mar-16,24-Mar-16,24-Mar-16,10885,10885,,,zaid ,,,,,,,,,,,,,,,,,,,1,0,0,0,-30320,0,0,0 ,,
L,0343/16 ,24-Mar-16,SVG-Tech Sdn Bhd ,-,Verbal ,Calibration charges for GasAlertExtreme ,RM, 150.00 ,COD,IR0343/16,SO0343/16 ,24-Mar-16,24-Mar-16,24-Mar-16,10884,10884,,,zaid ,,,,,,,,,,,,,,,,,,,1,0,0,0,-30320,0,0,0 ,,
L,0344/16,24-Mar-16,Ornapaper Industry (M) Sdn Bhd,-,Verbal ,Calibration charges for GasAlertMicroClip ,RM, 150.00 ,COD,IR0344/16,SO0344/16,,,,,,,,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30320,0,0,0 ,,
L,0345/16,24-Mar-16,Sittal And Associates Metals Sdn Bhd ,-,Verbal ,Calibration charges for GasAlertMicroClip XT & MaxXT II ,RM, 600.00 ,COD,IR0345/16,SO0345/16,,,,,,,,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30320,0,0,0 ,,
L,0346/16,24-Mar-16,Green Nature Class Sdn Bhd ,-,16/5237 ,Calibration Service Exchange - Easidew Transmitter ,RM," 2,850.00 ",COD,IR0346/16,SO0346/16,5-May-16,16-May-16,16-May-16,11115,,,,syairah,25-Mar-2016,25-Mar-2016,3593,Michell Instruments Ltd ,MICH ,GBP, 193.80 ,30 Days,A54737,5-May-16,10-May-16,,,FEDEX#8710 4191 6708,12-May-16,,,,1,1,0,1,2,0,0,0 ,,
T,0347/16,25-Mar-16,Mewah-Oils Sdn Bhd ,-,PBP1600346 ,"Bacharach - Sensor, Cover Assembly",RM," 6,615.00 ",30 Days,IR0347/16,SO0347/16,6-Apr-16,6-Apr-16,6-Apr-16,10935,10935,,,omar,28-Mar-2016,28-Mar-2016,3595,"Bacharach, Inc",BACH,USD, 489.75 ,50 Days,16031112,29-Mar-16,29-Mar-16,,,FEDEX#6114 0438 7170,1-Apr-16,147.06,313.39,,1,0,0,0,2,0,0,0 ,,
T,0348/16,25-Mar-16,Spectrum Laboratories Sdn Bhd ,-,6507,"Bacharach PCA3 12"" Probe Assembly ",RM," 1,600.00 ",COD,IR0348/16,SO0348/16,6-Apr-16,6-Apr-16,6-Apr-16,10934,10934,,,omar,25-Mar-2016,25-Mar-2016,3594,"Bacharach, Inc",BACH,USD, 157.50 ,50 Days,16031111,29-Mar-16,29-Mar-16,,,FEDEX#6114 0438 7170,1-Apr-16,48.99,100.79,,1,0,0,0,1,0,0,0 ,,
T,0349/16,25-Mar-16,Misc Berhad (Bunga Lily) ,-,LLY160155,Sensor ,RM," 14,943.00 ",30 Days,IR0349/16,SO0349/16,28-Mar-16,1-Apr-16,1-Apr-16,10918,,-,-,rahimah,28-Mar-2016,28-Mar-2016,3596,BW,BW,USD," 2,081.25 ",30 Days,-,31-Mar-16,31-Mar-16,,,-,31-Mar-16,-,-,,1,1,0,0,2,0,0,0 ,,
T,0349/16,25-Mar-16,Misc Berhad (Bunga Lily) ,-,,,,,,,,,1-Apr-16,1-Apr-16,10919,,-,-,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30321,0,0,0 ,,
T,0350/16,25-Mar-16,Sermax Automation Sdn Bhd ,-,PA1603-404,BW GasAlertMicro 5 IR ,RM," 6,757.50 ",30 Days,IR0350/16,SO0350/16 ,20-Apr-16,20-Apr-16,20-Apr-16,11001,11001,-,-,rahimah,29-Mar-2016,29-Mar-2016,3598,BW,BW,USD," 1,027.00 ",30 Days,OC1080941,18-Apr-16,13-Apr-16,,,FEDEX#6263 7249 0323,18-Apr-16,30.14,94.26,,1,0,0,0,3,0,0,0 ,,
T,0351/16,25-Mar-16,Flexidynamic Engineering Sdn Bhd ,-,3037,BW GasAlertExtreme Cl2 Single Gas Detector ,RM ," 2,139.00 ",COD,IR0351/16,SO0351/16,20-Apr-16,20-Apr-16,20-Apr-16,11002,11002,-,-,rahimah,29-Mar-2016,29-Mar-2016,3598,BW,BW,USD, 266.50 ,30 Days,OC1080941,18-Apr-16,13-Apr-16,,,FEDEX#6263 7249 0323,18-Apr-16,30.14,24.45,,1,0,0,0,3,0,0,0 ,,
T,0352/16,28-Mar-16,Sedia Teguh Sdn Bhd (ExxonMobil) ,5495/2016,4501203914,BW GasAlertClip Extreme 3 H2S ,RM ," 53,847.00 ",30 Days,IR0352/16,SO0352/16,20-Apr-16,20-Apr-16,20-Apr-16,10996,,,,rahimah,29-Mar-2016,29-Mar-2016,3598,BW,BW,USD," 7,995.00 ",30 Days,OC1080941,18-Apr-16,18-Apr-16,,,FEDEX#5836 9025 5257,17-Apr-16,-,771.57,Pro-Increase Place Sdn Bhd #Inv:00013214 Dtd: 4/5/2016 (RM159.00),1,0,0,0,2,0,0,0 ,,
T,0353/16,28-Mar-16,Sedia Teguh Sdn Bhd (Sarawak Shell Berhad-E11),5531/2016,4512689010,Gas Cylinder ,RM ," 6,126.38 ",30 Days,IR0353/16,SO0353/16,12-Apr-16,12-Apr-16,12-Apr-16,10962,,,,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30322,0,0,0 ,,
L,0354/16,28-Mar-16,TMM Engineering Services Sdn Bhd ,-,4482,"Calibration charges for GasAlertMax XT II, Replacement Hydrophobic Pump Filter, Replacement Particulate Pump Filter, Power Adapter ",RM, 769.50 ,COD,IR0354/16,SO0354/16,28-Mar-16,28-Mar-16,28-Mar-16,10897,10897,-,-,hafiz,,,,,,,,,,,,,,,,,,,1,0,0,0,-30322,0,0,0 ,,
T,0355/16,28-Mar-16,Process Dynamics Engineering Sdn Bhd ,-,P9474,Rental BW GasAlertMicroClip XT ,RM, 658.00 ,COD,IR0355/16,SO0355/16,28-Mar-16,28-Mar-16,28-Mar-16,10899,10899,-,-,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30322,0,0,0 ,,
L,0356/16,28-Mar-16,JSM Enterprise ,-,Verbal ,Calibration charges fot Qrae II,RM, 300.00 ,COD,IR0356/16,SO0356/16,29-Mar-16,29-Mar-16,29-Mar-16,10900,10900,-,-,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30322,0,0,0 ,,
L,0357/16,28-Mar-16,Misi Setia Oil & Gas Sdn Bhd ,-,MSOG-M1503-M32-0060,Calibration charges for GasAlertMicroClip XT & Crowcon ,RM, 900.00 ,30 Days,IR0357/16,SO0357/16,30-Mar-16,30-Mar-16,30-Mar-16,10903,10903,-,-,zaid,29-Mar-2016,29-Mar-2016,3599,Ancor Sdn Bhd,MISC,RM, 477.00 ,COD,-,28-Mar-16,28-Mar-16,,,-,28-Mar-16,-,-,,1,0,0,0,2,0,0,0 ,,
T,0358/16,28-Mar-16,Sermax Automation Sdn Bhd ,-,PA1603-416,Replacement Oxygen Sensor ,RM, 950.00 ,30 Days,IR0358/16,SO0358/16,31-Mar-16,31-Mar-16,31-Mar-16,10913,10913,-,-,zaid,29-Mar-2016,29-Mar-2016,3597,Ancor Sdn Bhd,MISC,RM, 773.80 ,COD,-,31-Mar-16,31-Mar-16,I2285/16,,-,31-Mar-16,-,-,,1,0,0,0,2,0,0,0 ,,
L,0359/16,29-Mar-16,Watterson Technology Sdn Bhd ,-,0315/16,Calibration charges for BW GasAlertMax XT II ,RM, 300.00 ,COD,IR0359/16,SO0359/16,30-Mar-16,30-Mar-16,30-Mar-16,10907,10907,-,-,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30323,0,0,0 ,,
L,0360/16,29-Mar-16,Gusteam Corporation Sdn Bhd ,-,Verbal ,Calibration charge for GasAlertMicroClip XT ,RM, 300.00 ,COD,IR0360/16,SO0360/16,30-Mar-16,30-Mar-16,30-Mar-16,10906,10906,-,-,boonking,,,,,,,,,,,,,,,,,,,1,0,0,0,-30323,0,0,0 ,,
T,0361/16,29-Mar-16,Multi Trada Alam Sdn Bhd ,-,1425,Hach - Orbisphere EC Sensor ,RM ," 53,770.00 ",COD,IR0361/16,SO0361/16,30-Mar-16,30-Mar-16,30-Mar-16,10904,,-,-,guoyi,29-Mar-2016,29-Mar-2016,3600,Seni Kaliber Sdn Bhd ,MISC,RM," 38,160.00 ",COD,-,30-May-16,30-May-16,"I1603304, I1603312",,,30-May-16,-,-,"Inv#10904 Dtd: 30/3/2016 (10%-RM5,377.00)",1,0,0,0,1,0,0,0 ,,
L,0362/16,29-Mar-16,Organo (Asia) Sdn Bhd ,-,PO0006648,Calibration chargesfor GasAlertMicroClip XL ,RM, 300.00 ,30 Days,IR0362/16,SO0362/16,29-Mar-16,29-Mar-16,29-Mar-16,10901,10901,-,-,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30323,0,0,0 ,,
L,0363/16,29-Mar-16,Mechmar After Sales & Services Sdn Bhd ,-,PO-00139/16MAS,Calibration charges for Bacharach CO/O2,RM, 600.00 ,30 Days,IR0363/16,SO0363/16 ,30-Mar-16,30-Mar-16,30-Mar-16,10910,10910,-,-,zaid ,,,,,,,,,,,,,,,,,,,1,0,0,0,-30323,0,0,0 ,,
L,0364/16,29-Mar-16,Precision Control Sdn Bhd ,-,PC2016/03/028/SALE/FBM ,Calibration charges for GasAlertMax XT II,RM, 300.00 ,30 Days,IR0364/16,SO0364/16 ,30-Mar-16,30-Mar-16,30-Mar-16,10908,10908,-,-,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30323,0,0,0 ,,
T,0365/16,29-Mar-16,Process Dynamics Engineering Sdn Bhd ,-,P9481,BW GasAlertMicroClip XL ,RM," 2,470.00 ",COD,IR0365/16,SO0365/16 ,30-Mar-16,30-Mar-16,30-Mar-16,10905,10905,-,-,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30323,0,0,0 ,,
T,0366/16,30-Mar-16,CETM Electrotest Sdn Bhd ,-,303617,BW GasAlertMicroClip XL ,RM," 4,420.00 ",30 Days,IR0366/16,SO0366/16,31-Mar-16,31-Mar-16,31-Mar-16,10915,10915,-,-,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30324,0,0,0 ,,
T,0367/16,30-Mar-16,Kemaman Bitumen Company Sdn Bhd ,-,4500013023,Gas Cylinder ,RM," 1,100.00 ",COD,IR0367/16,SO0367/16,12-Apr-16,12-Apr-16,12-Apr-16,10966,10966,-,-,rahimah,31-Mar-2016,31-Mar-2016,3602,Calgaz International LLC ,Calgaz ,USD, 71.00 ,30 Days,-,4-Apr-16,4-Apr-16,,,FEDEX#6595 0676 6871,8-Apr-16,38.17,,,1,0,0,0,2,0,0,0 ,,
T,0368/16,30-Mar-16,Flexsys Chemicals (M) Sdn Bhd ,-,42800256,BW GasAlertMicro 5 PID ,RM," 6,365.00 ",30 Days,IR0368/16,SO0368/16,26-May-16,26-May-16,26-May-16,11156,,-,-,rahimah,31-Mar-2016,31-Mar-2016,3603,BW,BW,USD, 890.50 ,30 Days,OC1081063,15-May-16,15-May-16,,,FEDEX#7830 6996 4986,19-May-16,229.07,,,1,0,0,0,2,0,0,0 ,,
T,0369/16,30-Mar-16,Artist At Work Engineering & Services ,-,AW/1462/300316/EASB,BW GasAlertMax XT II ,RM ," 3,498.00 ",COD,IR0369/16,SO0369/16,31-Mar-16,31-Mar-16,31-Mar-16,10914,10914,-,-,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30324,0,0,0 ,,
T,0370/16,30-Mar-16,Gamlite Marketing (M) Sdn Bhd ,-,PO000456,BW GasAlertMicro 5 ,RM," 7,218.95 ",30 Days,IR0370/16,SO0370/16,11-May-16,11-May-16,11-May-16,11095,11095,-,-,rahimah,31-Mar-2016,31-Mar-2016,3603,BW,BW,USD," 1,023.75 ",30 Days,OC1081063,27-Apr-16,1-May-16,,,FEDEX#7762 3555 6206,6-May-16,256.97,,,1,0,0,1,2,0,0,0 ,,
T,0371/16,30-Mar-16,Sedia Teguh Sdn Bhd (Petronas Chemicals Group Berhad) ,5522/2016,4120140789,"Replacement Oxygen Sensor, Replacement Flex PCB, Replacement Quad Sensor Screen Filter ",RM," 2,776.05 ",30 Days,IR0371/16,SO0371/16,12-Apr-16,12-Apr-16,12-Apr-16,10965,,,,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30324,0,0,0 ,,
L,0372/16,31-Mar-16,Millivest Sdn Bhd ,-,28796,Calibration charge for GasAlertMicroClip XT ,RM, 300.00 ,30 Days,IR0372/16,SO0372/16,6-Apr-16,6-Apr-16,6-Apr-16,10936,10936,-,-,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30325,0,0,0 ,,
T,0373/16,31-Mar-16,Spectris Pte Ltd ,-,121160362,"Cermet II Online Hygrometer, 5/8"" SS Sample Block ",GBP," 2,375.00 ",30 Days,IR0373/16,SO0373/16,26-Apr-16,26-Apr-16,26-Apr-16,11027,11027,-,-,syairah,1-Apr-2016,1-Apr-2016,3604,Michell Instruments Ltd ,MICH ,GBP," 1,147.80 ",30 Days,A54819,14-Apr-16,21-Apr-16,,,FEDEX#8710 4191 6741,25-Apr-16,411.87,,,1,0,0,1,2,0,0,0 ,,
L,0374/16,31-Mar-16,Alba Resources Sdn Bhd ,-,Verbal ,Calibration charges for BW GasAlertMax XT II ,RM, 400.00 ,COD,IR0374/16,SO0374/16 ,31-Mar-16,31-Mar-16,31-Mar-16,10911,10911,-,-,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30325,0,0,0 ,,
L,0375/16,31-Mar-16,Hatimuda Sdn Bhd ,-,Verbal ,"Calibration charges for GasAlertMicro 5, Replacement Oxygen Sensor ",RM," 1,400.00 ",COD,IR0375/16,SO0375/16,,,,,,-,-,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30325,0,0,0 ,,
L,0376/16,31-Mar-16,Institut Kemahiran Mara ,-,AF 696783 ,"Calibration charges for Riken Keiki, Replacement Oxygen Sensor, Replacement H2S Sensor ",RM ," 8,360.00 ",30 Days,IR0376/16,SO0376/16 ,8-Apr-16,8-Apr-16,8-Apr-16,10951,,-,-,boonking,6-Apr-2016,6-Apr-2016,3608,Kinetics Systems Malaysia Sdn Bhd ,MISC,RM," 5,098.60 ",COD,-,7-Apr-16,7-Apr-16,160305,,-,7-Apr-16,-,-,,1,0,0,0,5,0,0,0 ,,
T,0377/16,1-Apr-16,Shell MDS (Malaysia) Sendirian Berhad,-,4500067289,BW GasAlertMicroClip XT ,RM ," 6,900.00 ",30 Days,IR0377/16,SO0377/16,1-Apr-16,1-Apr-16,1-Apr-16,10921,10921,-,-,boonking,,,,,,,,,,,,,,,,,,,1,0,0,0,-30326,0,0,0 ,,
T,0378/16,1-Apr-16,CSC Steel Sdn Bhd ,-,1603M50059,BW GasAlertMax XT II ,RM," 3,610.00 ",30 Days,IR0378/16,SO0378/16,1-Apr-16,1-Apr-16,1-Apr-16,10923,,,,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30326,0,0,0 ,,
T,0379/16,1-Apr-16,Intestmal Engineering & Supply Sdn Bhd ,-,02908,BW GasAlertMicroClip XL ,RM," 8,840.00 ",COD,IR0379/16,SO0379/16,1-Apr-16,1-Apr-16,1-Apr-16,10922,,-,-,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30326,0,0,0 ,,
T,0380/16,1-Apr-16,Sedia Teguh Sdn Bhd (Sarawak Shell Berhad-F06) ,5523/2016,4512693498,Quad Gas Cylinder ,RM," 6,126.38 ",30 Days,IR0380/16,SO0380/16,12-Apr-16,12-Apr-16,12-Apr-16,10964,,,,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30326,0,0,0 ,,
L,0381/16,1-Apr-16,Polyscientific Enterprise Sdn Bhd ,-,PO-1026465 (Rev),"Calibration charges for GasAlertExtreme, Replacement CR2 Battery ",RM, 289.00 ,30 Days,IR0381/16,SO0381/16,8-Apr-16,8-Apr-16,8-Apr-16,10948,,-,-,zaid,,,,,,,,,,,,,,,,,,Inv#10948 Dtd: 8/4/2016 (Partial - RM255.00)  ,1,0,0,0,-30326,0,0,0 ,,
L,0381/16,1-Apr-16,Polyscientific Enterprise Sdn Bhd ,,,,,,,,,27-Apr-16,27-Apr-16,27-Apr-16,11033,,,,zaid,,,,,,,,,,,,,,,,,,Inv#11033 Dtd: 27/04/2016 (Complete - RM34.00),0,0,0,0,-30326,0,0,0 ,,
T,0382/16,1-Apr-16,Linde Malaysia Sdn Bhd ,-,9300088295,"Michell - Calibration Service Exchange - Cermet II, Easidew, Cermax IS, Pura ",RM," 63,050.00 ",60 Days ,IR0382/16,SO0382/16,30-May-16,30-May-16,30-May-16,11169,,-,-,syairah,4-Apr-2016,4-Apr-2016,3606,Michell Instruments Ltd ,MICH ,GBP," 4,756.80 ",30 Days,A54864,5-May-2016,13-May-2016,,,"FEDEX#8710 4191 6650,    UPS#9W1186KGBRL",24-May-2016,2998.78,,,1,0,0,1,2,0,0,0 ,,
